release_id,track_name,artist,genre,release_type,is_feature,editorial_tier,ml,ml_bin,tier,wk1,locked,live_ols_pred,live_pred,live_ols_log_resid,live_ratio,locked_ratio,A_pred,A_ols_log_resid,A_ratio,A_cooks_dropped,A_cooks_d0_dropped,B_pred,B_ols_log_resid,B_ratio,B_cooks_dropped,B_cooks_d0_dropped,C_pred,C_ols_log_resid,C_ratio,C_cooks_dropped,C_cooks_d0_dropped,D_pred,D_ols_log_resid,D_ratio,D_cooks_dropped,D_cooks_d0_dropped,E_pred,E_ols_log_resid,E_ratio,E_cooks_dropped,E_cooks_d0_dropped
c688c0c1-ce26-44b9-a3fd-1411352daa0c,When I'm Hot,Griz,dubstep,album_track,True,1,1950000.0,500k-2M,mid,225215,312113,143130.10024649932,124523.1872144544,0.45330149292375843,1.8086189812354683,0.7215816066616898,106751.80562474359,0.59572604528962,2.109706704087807,False,False,106531.8421883282,0.609349506028483,2.1140627569535724,False,False,119217.36837311514,0.49684498232884344,1.8891123254385518,False,False,141327.42818890553,0.3267140501651884,1.5935689404817162,False,False,142121.07608756202,0.3211140913669066,1.5846699602896555,False,False
6d761fa4-d938-4a94-84d8-73953432b604,Last Forever (Club Mix),Bob Moses,house,lead_single,False,1,2000000.0,2M-5M,established,92691,170000,147880.55452212636,147880.55452212636,-0.46713350339302906,0.6267964053795273,0.5452411764705882,122084.94008973513,-0.27544565224126494,0.759233693622408,True,False,116853.9338120477,-0.23165334542438742,0.7932210493579764,True,False,129329.10201444462,-0.3330889535569277,0.7167064377331519,True,False,101831.68097694598,-0.09404988324637564,0.910237355513994,True,False,103495.02408319419,-0.11025215457895143,0.8956082750943716,True,False
59d045b2-c9ed-45bb-ae34-9b3c2a0cd90f,Higher Ground,Bob Moses,downtempo,album_track,False,2,2000000.0,2M-5M,established,64121,239080,280420.1408529962,243965.5225421067,-1.4755170582081423,0.26282812149791857,0.2681989292287101,228042.2897489758,-1.4195820594669488,0.2811803024368114,True,False,216238.5642950121,-1.3548724064967317,0.29652897580526094,True,False,236776.35662389707,-1.4456061966425153,0.27080828894521675,True,False,191774.5072463098,-1.2348103843613458,0.3343562234663692,True,False,194422.51329708635,-1.2485238384181834,0.32980234085350096,True,False
002c00c4-803d-4ce6-a3fd-9f35e2e2ba80,Freaks,Joshwa,house,album_track,False,1,2000000.0,2M-5M,established,71982,170000,147880.55452212636,128656.08243424993,-0.7199887961120659,0.5594916201244244,0.4234235294117647,104993.04847717221,-0.5283009449603018,0.6855882464985333,False,False,101662.9224164815,-0.48450863814342426,0.7080457485287709,False,False,112516.31875256682,-0.5859442462759645,0.6397472010997328,False,False,88593.562449943,-0.3469051759654125,0.8124969581245947,False,False,90040.67095237895,-0.3631074472979883,0.79943873405908,False,False
fa462427-e169-4f27-8642-fa43949bbc2c,leave like this,bob moses,downtempo,lead_single,False,2,2000000.0,2M-5M,established,135101,239080,280420.1408529962,280420.1408529962,-0.7302663347225753,0.4817806580834134,0.5650870001673081,265165.4531964835,-0.6743313359813818,0.5094969890360953,True,False,248550.07390231275,-0.6096216830111647,0.5435564668272782,True,False,272156.7317516058,-0.7003554731569483,0.49640881241660806,True,False,220430.4680992067,-0.48955966087577885,0.6128962169567076,True,False,223474.1532150418,-0.5032731149326164,0.6045486605781957,True,False
b78f3cf3-aded-4651-b6ee-398984d18c04,Lets Get Ill,Joshwa,house,single,False,1,2000000.0,2M-5M,established,99007,170000,147880.55452212636,147880.55452212636,-0.4012143291672423,0.6695065508777643,0.5823941176470588,122084.94008973513,-0.2095264780154782,0.8109681663211504,False,False,116853.9338120477,-0.16573417119860068,0.8472714334054565,False,False,129329.10201444462,-0.26716977933114094,0.7655430870380745,False,False,101831.68097694598,-0.028130709020588895,0.9722612751763818,False,False,103495.02408319419,-0.044332980353164686,0.95663536365201,False,False
c49119e6-b37b-434d-a6c0-040fef4f8b59,On My Mind,Bob Moses,downtempo,lead_single,True,1,2000000.0,2M-5M,established,242039,315513,144159.9273050146,144159.9273050146,0.518175580603172,1.6789617234468506,0.7671284542950687,124672.01737325598,0.6634124422653684,1.9414059794617633,True,False,122985.92003755088,0.6770289926164192,1.9680220298884543,True,False,138032.97360958543,0.5616062743814059,1.753486820363566,True,False,91547.76510867447,0.9722380110766125,2.6438548195325193,True,False,93246.35613432746,0.9538538887441348,2.595693923431464,True,False
eb7df52a-16fc-4668-8afb-ee132a9ed07e,Work Your Body,Joshwa,house,single,False,1,2000000.0,2M-5M,established,116036,170000,147880.55452212636,147880.55452212636,-0.2425043960859572,0.7846602981370233,0.682564705882353,122084.94008973513,-0.050816544934193075,0.950453019960619,False,False,116853.9338120477,-0.007024238117315562,0.9930003741819826,False,False,129329.10201444462,-0.10845984624985583,0.8972149206374298,False,False,101831.68097694598,0.13057922406069622,1.1394882112008913,False,False,103495.02408319419,0.11437695272812043,1.1211746750908989,False,False
fc29b252-3e12-4161-81fb-cb0a61efdd2d,For The Girls,Hayden James,house,single,True,1,2658000.0,2M-5M,established,88782,356347,156251.17992541826,156251.17992541826,-0.5652809133622227,0.5682005092209697,0.24914479425952793,130926.1954642562,-0.3884498442843771,0.6781072319804643,False,False,129276.61918139391,-0.375770516548366,0.6867599149961211,False,False,135679.99073345814,-0.424115176998102,0.654348511671196,False,False,107996.29927037239,-0.19591303377360347,0.8220837250888686,False,False,108866.80559144184,-0.203941241219189,0.8155102881697787,False,False
b47d846d-5690-4718-b51e-c8203bb55828,One I Want,Hayden James,house,single,True,1,2674000.0,2M-5M,established,88421,357264,156516.9481367408,156516.9481367408,-0.5710548009276124,0.5649292364348373,0.24749484974696584,131061.48699751616,-0.3935570814838627,0.6746528062944664,False,False,129414.96623733596,-0.3809145360982793,0.6832362791629792,False,False,135630.7763806399,-0.42782681622016305,0.6519243077386182,False,False,108373.49067221438,-0.20347401011115096,0.815891408974151,False,False,109223.16796053725,-0.21128370362607107,0.8095443636275671,False,False
