Ad account,Currency,Reporting starts,Reporting ends,Campaign name,Campaign delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent,Ends,Impressions,CPM,Link clicks,shop_clicks,CPC (link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),Landing page views,Cost per landing page view,Results (initial),Results (initial) indicator
Night-Bass,USD,2023-07-04,2026-08-04,For the Funk (Free Download) - Conversion - New Sales Campaign,completed,"7-day click, 1-day view, or 1-day engaged-view",113,actions:offsite_conversion.fb_pixel_complete_registration,7686,1.933515,1.31539823,150,Lifetime,148.64,2026-07-20,14861,10.002019,609,,0.244072,4.097975,1050,7.065473,0.141562,186,0.79914,,
Night-Bass,USD,2023-07-04,2026-08-04,For The Funk (Free Download) - New Traffic Campaign with recommended settings,inactive,7-day click or 1-day view,923,actions:omni_landing_page_view,11203,1.298134,0.09507042,Using ad set budget,0,87.75,2026-07-17,14543,6.033831,999,,0.087838,6.869284,1353,9.303445,0.064856,923,0.09507,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,Dirt Monkey - (RE)EVOLUTION VOL. 3 Release (Boost),completed,7-day click or 1-day view,148,actions:link_click,7588,1.256326,0.67567568,Using ad set budget,0,100,2023-07-14,9533,10.489877,148,,0.675676,1.552502,175,1.835729,0.571429,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,GHASTLY - Enough Release,completed,7-day click or 1-day view,721,actions:link_click,24439,1.340399,0.34674064,Using ad set budget,0,250,2023-07-14,32758,7.631724,721,,0.346741,2.200989,1154,3.522804,0.216638,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,Dirt Monkey - (RE)EVOLUTION VOL. 3 Release (Dark Ads),completed,7-day click or 1-day view,290,actions:link_click,15635,1.432875,0.51724138,Using ad set budget,0,150,2023-07-14,22403,6.695532,290,,0.517241,1.294469,429,1.914922,0.34965,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"HE$H - ""LEECHES"" Out Now (Video Views)",not_delivering,7-day click or 1-day view,4916,video_thruplay_watched_actions,32364,1.540662,0.04068348,Using ad set budget,0,200,2023-08-30,49862,4.011071,431,,0.464037,0.864386,1196,2.39862,0.167224,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,Luttrell - Teaser Boost (Post Engagement),completed,7-day click or 1-day view,12330,actions:post_engagement,15958,1.3476,0.0081103,Using ad set budget,0,100,2023-09-13,21505,4.650081,75,,1.333333,0.348756,325,1.511276,0.307692,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey x Jantsen - ""Full Circle"" Release (Dark Ad)",completed,7-day click or 1-day view,6105,video_thruplay_watched_actions,29242,1.335169,0.02457002,Using ad set budget,0,150,2023-09-20,39043,3.841918,214,,0.700935,0.548114,894,2.289783,0.167785,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey x Jantsen - ""Full Circle"" Release (Boost)",completed,7-day click or 1-day view,3911,video_thruplay_watched_actions,27128,1.06097,0.02556891,100,Lifetime,100,2023-10-13,28782,3.474394,139,,0.719424,0.482941,340,1.181294,0.294118,,,,
RLM-Electronic-2,USD,2023-07-04,2026-08-04,"Dirt Monkey - ""IGNITE"" Release (Video Views)",completed,7-day click or 1-day view,10776,video_thruplay_watched_actions,39075,1.096404,0.01855976,200,Lifetime,200,2023-10-11,42842,4.668316,58,,3.448276,0.135381,214,0.49951,0.934579,,,,
